hs_diploma,hispanic,white,black,employed,married,male,days_21,perc_days_drink,drinks_alcohol,student
0,1,0,0,0,0,0,-1109,0,0,1
1,1,0,0,1,0,1,2454,6.575342465753424,1,0
1,1,0,0,1,1,0,505,0,0,0
0,0,1,0,0,0,0,-42,3.287671232876712,1,0
0,0,0,1,1,0,0,993,0,1,0
1,1,0,0,1,0,1,1600,14.246575342465754,1,0
0,1,0,0,1,1,1,2574,14.246575342465754,1,0
1,1,0,0,1,0,0,-164,3.287671232876712,1,0
1,1,0,0,1,0,1,1813,28.493150684931507,1,0
0,0,1,0,1,0,1,-713,0,0,0
1,1,0,0,1,1,1,1388,1.095890410958904,1,0
1,1,0,0,1,0,0,107,0.821917808219178,1,0
1,1,0,0,0,1,0,-136,0,0,0
0,1,0,0,0,1,0,-804,0,0,1
0,1,0,0,0,1,0,382,0,0,0
1,1,0,0,1,0,0,-470,0,0,0
0,1,0,0,0,0,0,1052,0,0,0
0,1,0,0,1,0,0,1934,3.287671232876712,1,0
1,0,1,0,1,1,0,657,0.547945205479452,0,0
1,0,1,0,1,1,1,2209,14.246575342465754,1,0
1,0,0,1,0,0,0,1325,3.287671232876712,1,0
1,0,0,1,1,0,0,-774,0.547945205479452,0,0
1,0,0,1,1,1,1,2026,14.246575342465754,1,0
1,1,0,0,1,0,0,657,9.863013698630137,1,0
0,1,0,0,1,0,0,-866,14.246575342465754,1,0
0,1,0,0,1,1,1,1022,28.493150684931507,1,0
0,1,0,0,1,1,1,1660,3.287671232876712,1,0
0,1,0,0,1,1,0,2391,0,0,0
1,1,0,0,0,0,1,-682,0.547945205479452,0,1
0,1,0,0,1,0,0,-957,0,0,0
0,1,0,0,1,0,0,1812,0,0,0
1,1,0,0,1,1,1,656,6.575342465753424,1,0
0,1,0,0,0,0,0,2239,1.095890410958904,1,0
1,0,0,1,1,0,0,1325,0,0,0
1,1,0,0,0,1,1,1051,0,1,0
1,1,0,0,0,1,0,2270,0,0,0
0,1,0,0,0,0,0,1294,9.863013698630137,1,1
0,1,0,0,0,1,0,1294,0,0,0
0,1,0,0,0,1,1,-257,14.246575342465754,1,0
1,1,0,0,0,0,0,108,28.493150684931507,1,1
1,1,0,0,0,1,0,1843,3.287671232876712,1,1
1,1,0,0,1,1,0,2543,6.575342465753424,1,0
1,0,0,1,0,1,0,1021,0,1,0
1,0,0,1,0,0,1,-805,0,0,0
1,1,0,0,0,0,0,2359,0,0,1
1,0,0,1,1,0,0,3030,1.095890410958904,0,0
1,0,0,1,1,0,0,748,6.575342465753424,1,0
1,1,0,0,1,0,1,2696,9.863013698630137,1,0
1,1,0,0,1,0,1,990,0,0,0
1,0,0,1,1,1,0,1812,0,0,0
0,1,0,0,0,0,1,748,14.246575342465754,1,0
1,1,0,0,1,0,0,2117,6.575342465753424,1,0
1,1,0,0,1,0,0,3030,3.287671232876712,1,0
